
mode,par,maxprocs,maxq,dur,interval,ops,drops,thru,dthr,wall,exec,util,upar,min,p05,p25,p50,p75,p90,p95,p99,max,jitter
multi-1,2,2,0,4s,0s,2056,0,511,0,4.020043398s,7.98s,199%,99%,3.870,3.872,3.874,3.876,3.879,3.888,3.905,3.970,4.926,0s
multi-2,2,2,0,4s,0s,2050,0,512,0,4.007811893s,7.956s,199%,99%,3.869,3.872,3.874,3.876,3.879,3.886,3.903,3.953,5.008,0s
multi-4,2,2,0,4s,0s,2055,0,511,0,4.018873781s,7.972s,198%,99%,3.870,3.872,3.874,3.876,3.879,3.885,3.895,3.978,5.539,0s
multipipe-1,2,2,0,4s,0s,2057,0,514,0,4.003976062s,7.98s,199%,100%,3.872,3.874,3.875,3.876,3.881,3.902,3.997,4.061,5.624,0s
multipipe-2,2,2,0,4s,0s,2061,0,514,0,4.006051576s,7.992s,199%,100%,3.871,3.874,3.875,3.876,3.879,3.886,3.905,3.997,5.627,0s
multipipe-4,2,2,0,4s,0s,2062,0,515,0,4.003396968s,7.976s,199%,100%,3.871,3.873,3.874,3.875,3.879,3.886,3.903,3.967,4.601,0s
mode,par,maxprocs,maxq,dur,interval,ops,drops,thru,dthr,wall,exec,util,upar,min,p05,p25,p50,p75,p90,p95,p99,max,jitter
ideal,3,3,0,4s,0s,3073,0,767,0,4.006856908s,11.928s,298%,99%,3.870,3.872,3.873,3.875,3.877,3.881,3.889,3.950,5.356,0s
locking,3,3,0,4s,0s,1033,0,258,0,4.008602605s,4.036s,101%,34%,3.876,11.625,11.627,11.630,11.639,11.664,11.691,11.848,15.425,0s
finelocking,3,3,0,4s,0s,3067,0,766,0,4.003749651s,11.908s,297%,99%,3.870,3.872,3.874,3.876,3.879,3.890,3.936,4.023,6.006,0s
parsteam,3,3,0,4s,0s,2705,0,675,0,4.00466837s,10.536s,263%,88%,2.904,3.993,4.205,4.441,4.678,4.870,4.909,4.942,6.902,0s
americano,3,3,0,4s,0s,3883,0,970,0,4.003805734s,11.336s,283%,94%,2.909,3.078,3.083,3.086,3.089,3.096,3.111,3.229,4.966,0s
espresso,3,3,0,4s,0s,4038,0,1009,0,4.002329858s,7.96s,199%,66%,1.937,2.912,2.914,2.916,3.088,3.104,3.109,3.896,5.817,0s
linearpipe-0,3,3,0,4s,0s,3075,0,768,0,4.003129438s,11.94s,298%,99%,3.872,3.874,3.875,3.877,3.883,3.994,4.001,4.122,6.044,0s
linearpipe-1,3,3,0,4s,0s,3000,0,749,0,4.004467481s,11.66s,291%,97%,3.871,3.875,3.878,4.054,4.059,4.074,4.116,4.560,6.058,0s
linearpipe-10,3,3,0,4s,0s,3022,0,755,0,4.004153619s,11.748s,293%,98%,3.872,3.874,3.876,3.984,4.057,4.062,4.110,4.165,5.958,0s
splitpipe-0,3,3,0,4s,0s,2746,0,686,0,4.003182297s,10.656s,266%,89%,2.932,3.875,3.878,4.433,4.856,4.861,4.869,4.912,6.872,0s
splitpipe-1,3,3,0,4s,0s,3007,0,751,0,4.004887731s,11.696s,292%,97%,2.908,3.933,3.948,3.990,3.992,3.999,4.047,5.011,6.212,0s
americanopipe-0,3,3,0,4s,0s,3955,0,988,0,4.003828658s,11.552s,289%,96%,2.915,2.968,2.972,3.033,3.045,3.094,3.101,3.265,7.974,0s
americanopipe-1,3,3,0,4s,0s,3991,0,997,0,4.002766034s,11.632s,291%,97%,2.904,2.910,2.968,3.024,3.041,3.090,3.094,3.151,4.860,0s
espressopipe-0,3,3,0,4s,0s,3881,0,970,0,4.002173749s,7.7s,192%,64%,1.981,2.975,2.981,3.039,3.053,3.067,3.164,4.990,8.050,0s
espressopipe-1,3,3,0,4s,0s,4122,0,1030,0,4.002725925s,8.092s,202%,67%,2.028,2.886,2.906,2.908,2.911,2.928,2.936,2.990,3.897,0s
multi-1,3,3,0,4s,0s,3070,0,766,0,4.006650491s,11.912s,297%,99%,3.869,3.872,3.874,3.876,3.878,3.885,3.935,4.078,6.004,0s
multi-2,3,3,0,4s,0s,3072,0,767,0,4.004444496s,11.916s,298%,99%,3.870,3.872,3.874,3.876,3.877,3.881,3.892,3.954,4.827,0s
multi-4,3,3,0,4s,0s,3071,0,767,0,4.003751111s,11.912s,298%,99%,3.869,3.872,3.874,3.876,3.877,3.881,3.892,3.954,5.854,0s
multipipe-1,3,3,0,4s,0s,3073,0,767,0,4.004184755s,11.92s,298%,99%,3.872,3.874,3.875,3.876,3.885,4.002,4.007,4.077,5.904,0s
multipipe-2,3,3,0,4s,0s,3101,0,772,0,4.016118587s,12.04s,300%,100%,3.871,3.874,3.875,3.876,3.878,3.885,3.900,4.033,5.023,0s
multipipe-4,3,3,0,4s,0s,3094,0,772,0,4.005241516s,12.004s,300%,100%,3.871,3.873,3.874,3.875,3.877,3.881,3.892,3.958,6.690,0s
mode,par,maxprocs,maxq,dur,interval,ops,drops,thru,dthr,wall,exec,util,upar,min,p05,p25,p50,p75,p90,p95,p99,max,jitter
ideal,4,4,0,4s,0s,4095,0,1022,0,4.005627063s,15.896s,397%,99%,3.869,3.872,3.874,3.875,3.877,3.882,3.895,3.987,6.691,0s
locking,4,4,0,4s,0s,1034,0,258,0,4.013408352s,4.048s,101%,25%,3.875,15.501,15.504,15.509,15.519,15.559,15.604,15.758,19.349,0s
finelocking,4,4,0,4s,0s,3858,0,964,0,4.004072282s,15.016s,375%,94%,3.879,4.108,4.114,4.117,4.121,4.151,4.248,5.194,7.035,0s
parsteam,4,4,0,4s,0s,3851,0,962,0,4.003261584s,14.988s,374%,94%,2.911,4.107,4.116,4.162,4.166,4.188,4.527,5.090,6.132,0s
americano,4,4,0,4s,0s,3881,0,969,0,4.003981578s,11.396s,285%,71%,2.913,4.110,4.112,4.116,4.129,4.148,4.184,5.103,7.083,0s
